温 B-PER B-PER
作 N N
为 N N
证 N N
券 N N
投 N N
资 N N
者 N N
， N N
在 N N
股 N N
票 N N
收 N N
益 N N
中 N N
获 N N
益 N N
丰 N N
厚 N N
。 N N

如 N N
雅 N B-PER
戈 N I-PER
尔 N I-PER
， N N
其 N N
上 N N
半 N N
年 N N
投 N N
资 N N
收 N N
益 N N
贡 N N
献 N N
１ N N
２ N N
． N N
２ N N
３ N N
亿 N N
元 N N
， N N
其 N N
中 N N
对 N N
联 N N
营 N N
和 N N
合 N N
营 N N
企 N N
业 N N
的 N N
投 N N
资 N N
收 N N
益 N N
仅 N N
４ N N
５ N N
６ N N
万 N N
元 N N
， N N
可 N N
供 N N
出 N N
售 N N
金 N N
融 N N
资 N N
产 N N
处 N N
置 N N
收 N N
益 N N
却 N N
高 N N
达 N N
１ N N
１ N N
． N N
２ N N
４ N N
亿 N N
元 N N
， N N
根 N N
据 N N
公 N N
司 N N
公 N N
告 N N
， N N
上 N N
半 N N
年 N N
其 N N
对 N N
外 N N
投 N N
资 N N
回 N N
报 N N
丰 N N
厚 N N
， N N
所 N N
投 N N
资 N N
的 N N
中 N N
信 N N
证 N N
券 N N
股 N N
价 N N
大 N N
幅 N N
上 N N
涨 N N
， N N
参 N N
股 N N
的 N N
广 N N
博 N N
股 N N
份 N N
、 N N
宁 B-ORG B-PER
波 I-ORG I-PER
银 I-ORG I-PER
行 I-ORG I-PER
顺 N I-PER
利 N I-PER
上 N N
市 N N
， N N
这 N N
些 N N
投 N N
资 N N
给 N N
公 N N
司 N N
带 N N
来 N N
良 N N
好 N N
回 N N
报 N N
。 N N

理 N N
性 N N
分 N N
析 N N
上 N N
市 N N
公 N N
司 N N
业 N N
绩 N N

专 N N
家 N N
分 N N
析 N N
， N N
目 N N
前 N N
上 N N
市 N N
公 N N
司 N N
正 N N
处 N N
于 N N
业 N N
绩 N N
的 N N
上 N N
升 N N
周 N N
期 N N
中 N N
， N N
这 N N
一 N N
趋 N N
势 N N
短 N N
期 N N
内 N N
不 N N
会 N N
改 N N
变 N N
。 N N

因 N N
此 N N
， N N
对 N N
今 N N
年 N N
及 N N
今 N N
后 N N
上 N N
市 N N
公 N N
司 N N
的 N N
业 N N
绩 N N
， N N
仍 N N
可 N N
持 N N
乐 N N
观 N N
态 N N
度 N N
。 N N

截 N N
至 N N
８ N N
月 N N
２ N N
９ N N
日 N N
， N N
两 N N
市 N N
共 N N
有 N N
４ N N
６ N N
１ N N
家 N N
公 N N
司 N N
发 N N
布 N N
了 N N
今 N N
年 N N
三 N N
季 N N
度 N N
业 N N
绩 N N
预 N N
告 N N
， N N
其 N N
中 N N
“ N N
预 N N
喜 N N
” N N
公 N N
司 N N
占 N N
六 N N
成 N N
多 N N
。 N N

发 N N
布 N N
业 N N
绩 N N
预 N N
告 N N
的 N N
公 N N
司 N N
中 N N
， N N
２ N N
８ N N
５ N N
家 N N
公 N N
司 N N
业 N N
绩 N N
同 N N
比 N N
向 N N
好 N N
。 N N

其 N N
中 N N
２ N N
３ N N
３ N N
家 N N
公 N N
司 N N
预 N N
计 N N
前 N N
三 N N
季 N N
度 N N
业 N N
绩 N N
同 N N
比 N N
增 N N
加 N N
， N N
５ N N
２ N N
家 N N
公 N N
司 N N
预 N N
计 N N
扭 N N
亏 N N
。 N N

王 B-PER B-PER
巍 I-PER I-PER
峰 I-PER I-PER
认 N N
为 N N
， N N
尽 N N
管 N N
上 N N
市 N N
公 N N
司 N N
业 N N
绩 N N
整 N N
体 N N
向 N N
好 N N
， N N
但 N N
各 N N
行 N N
业 N N
表 N N
现 N N
差 N N
异 N N
较 N N
大 N N
， N N
对 N N
投 N N
资 N N
者 N N
选 N N
择 N N
投 N N
资 N N
方 N N
向 N N
提 N N
出 N N
了 N N
更 N N
高 N N
的 N N
要 N N
求 N N
。 N N

今 N N
年 N N
上 N B-ORG
市 N I-ORG
公 N I-ORG
司 N I-ORG
中 N I-ORG
报 N N
显 N N
示 N N
， N N
业 N N
绩 N N
增 N N
长 N N
超 N N
过 N N
７ N N
０ N N
％ N N
的 N N
行 N N
业 N N
有 N N
２ N N
２ N N
个 N N
， N N
但 N N
与 N N
此 N N
同 N N
时 N N
， N N
也 N N
有 N N
一 N N
些 N N
行 N N
业 N N
业 N N
绩 N N
出 N N
现 N N
下 N N
滑 N N
。 N N

对 N N
于 N N
二 N N
级 N N
市 N N
场 N N
比 N N
较 N N
热 N N
衷 N N
的 N N
投 N N
资 N N
收 N N
益 N N
题 N N
材 N N
， N N
专 N N
家 N N
认 N N
为 N N
也 N N
可 N N
能 N N
成 N N
为 N N
一 N N
柄 N N
“ N N
双 N N
刃 N N
剑 N N
” N N
。 N N

出 N N
售 N N
股 N N
权 N N
资 N N
产 N N
所 N N
获 N N
得 N N
的 N N
巨 N N
额 N N
收 N N
益 N N
只 N N
是 N N
一 N N
次 N N
性 N N
的 N N
， N N
对 N N
短 N N
线 N N
估 N N
值 N N
可 N N
能 N N
会 N N
产 N N
生 N N
积 N N
极 N N
影 N N
响 N N
， N N
但 N N
从 N N
长 N N
期 N N
来 N N
看 N N
， N N
一 N N
次 N N
性 N N
巨 N N
额 N N
收 N N
益 N N
不 N N
会 N N
从 N N
根 N N
本 N N
上 N N
改 N N
变 N N
上 N N
市 N N
公 N N
司 N N
的 N N
竞 N N
争 N N
力 N N
， N N
也 N N
并 N N
不 N N
会 N N
影 N N
响 N N
到 N N
上 N N
市 N N
公 N N
司 N N
的 N N
中 N N
长 N N
期 N N
价 N N
值 N N
。 N N

相 N N
反 N N
， N N
还 N N
有 N N
相 N N
当 N N
多 N N
的 N N
公 N N
司 N N
由 N N
于 N N
证 N N
券 N N
投 N N
资 N N
失 N N
败 N N
， N N
影 N N
响 N N
了 N N
公 N N
司 N N
利 N N
润 N N
的 N N
增 N N
长 N N
。 N N

据 N N
统 N N
计 N N
， N N
上 N N
半 N N
年 N N
有 N N
１ N N
３ N N
０ N N
多 N N
家 N N
企 N N
业 N N
投 N N
资 N N
收 N N
益 N N
为 N N
亏 N N
损 N N
。 N N

廉 N N
租 N N
住 N N
房 N N
资 N N
金 N N
来 N N
源 N N
做 N N
出 N N
调 N N
整 N N

５ N N
０ N N
０ N N
亿 N N
元 N N
缺 N N
口 N N
有 N N
望 N N
填 N N
补 N N

本 N N
报 N N
北 B-LOC B-LOC
京 I-LOC I-LOC
８ N N
月 N N
３ N N
０ N N
日 N N
电 N N
（ N N
记 N N
者 N N
王 B-PER B-PER
炜 I-PER I-PER
） N N
建 N N
设 N N
部 N N
副 N N
部 N N
长 N N
齐 B-PER B-PER
骥 I-PER I-PER
在 N N
国 B-ORG N
务 I-ORG N
院 I-ORG N
新 I-ORG N
闻 I-ORG N
办 I-ORG N
新 N N
闻 N N
发 N N
布 N N
会 N N
上 N N
表 N N
示 N N
， N N
日 N N
前 N N
出 N N
台 N N
的 N N
《 N N
国 N N
务 N N
院 N N
关 N N
于 N N
解 N N
决 N N
城 N N
市 N N
低 N N
收 N N
入 N N
家 N N
庭 N N
住 N N
房 N N
困 N N
难 N N
的 N N
若 N N
干 N N
意 N N
见 N N
》 N N
对 N N
廉 N N
租 N N
住 N N
房 N N
制 N N
度 N N
保 N N
障 N N
资 N N
金 N N
来 N N
源 N N
渠 N N
道 N N
做 N N
出 N N
了 N N
一 N N
定 N N
调 N N
整 N N
， N N
土 N N
地 N N
出 N N
让 N N
净 N N
收 N N
益 N N
用 N N
于 N N
廉 N N
租 N N
住 N N
房 N N
保 N N
障 N N
资 N N
金 N N
的 N N
比 N N
例 N N
由 N N
“ N N
不 N N
得 N N
低 N N
于 N N
５ N N
％ N N
” N N
上 N N
调 N N
到 N N
“ N N
不 N N
得 N N
低 N N
于 N N
１ N N
０ N N
％ N N
” N N
， N N
廉 N N
租 N N
住 N N
房 N N
制 N N
度 N N
建 N N
设 N N
面 N N
临 N N
的 N N
资 N N
金 N N
难 N N
题 N N
有 N N
望 N N
缓 N N
解 N N
。 N N

总 N N
的 N N
看 N N
， N N
如 N N
果 N N
将 N N
覆 N N
盖 N N
面 N N
扩 N N
大 N N
到 N N
１ N N
０ N N
０ N N
０ N N
万 N N
户 N N
低 N N
收 N N
入 N N
住 N N
房 N N
困 N N
难 N N
家 N N
庭 N N
， N N
每 N N
年 N N
的 N N
资 N N
金 N N
需 N N
求 N N
至 N N
少 N N
４ N N
９ N N
７ N N
亿 N N
元 N N
。 N N

对 N N
此 N N
， N N
《 N N
意 N N
见 N N
》 N N
提 N N
出 N N
， N N
地 N N
方 N N
财 N N
政 N N
要 N N
将 N N
廉 N N
租 N N
住 N N
房 N N
保 N N
障 N N
资 N N
金 N N
纳 N N
入 N N
年 N N
度 N N
预 N N
算 N N
安 N N
排 N N
； N N

住 N N
房 N N
公 N N
积 N N
金 N N
增 N N
值 N N
收 N N
益 N N
净 N N
收 N N
入 N N
要 N N
全 N N
部 N N
用 N N
于 N N
廉 N N
租 N N
住 N N
房 N N
建 N N
设 N N
； N N

土 N N
地 N N
出 N N
让 N N
净 N N
收 N N
益 N N
用 N N
于 N N
廉 N N
租 N N
住 N N
房 N N
保 N N
障 N N
资 N N
金 N N
的 N N
比 N N
例 N N
“ N N
不 N N
得 N N
低 N N
于 N N
１ N N
０ N N
％ N N
” N N
。 N N

齐 B-PER B-PER
骥 I-PER I-PER
为 N N
大 N N
家 N N
算 N N
了 N N
一 N N
笔 N N
账 N N
， N N
２ N N
０ N N
０ N N
６ N N
年 N N
全 N N
国 N N
城 N N
市 N N
土 N N
地 N N
出 N N
让 N N
净 N N
收 N N
益 N N
为 N N
２ N N
９ N N
７ N N
８ N N
亿 N N
元 N N
， N N
其 N N
中 N N
１ N N
０ N N
％ N N
也 N N
就 N N
是 N N
近 N N
３ N N
０ N N
０ N N
亿 N N
元 N N
。 N N

住 N N
房 N N
公 N N
积 N N
金 N N
扣 N N
除 N N
风 N N
险 N N
准 N N
备 N N
金 N N
和 N N
管 N N
理 N N
成 N N
本 N N
以 N N
后 N N
， N N
截 N N
至 N N
去 N N
年 N N
底 N N
全 N N
国 N N
累 N N
计 N N
计 N N
提 N N
用 N N
于 N N
建 N N
设 N N
补 N N
充 N N
资 N N
金 N N
大 N N
概 N N
有 N N
１ N N
０ N N
０ N N
亿 N N
元 N N
。 N N

加 N N
上 N N
财 N N
政 N N
预 N N
算 N N
的 N N
支 N N
出 N N
， N N
５ N N
０ N N
０ N N
亿 N N
元 N N
的 N N
资 N N
金 N N
缺 N N
口 N N
有 N N
望 N N
填 N N
补 N N
。 N N

同 N N
时 N N
， N N
《 N N
意 N N
见 N N
》 N N
首 N N
次 N N
将 N N
解 N N
决 N N
低 N N
收 N N
入 N N
家 N N
庭 N N
住 N N
房 N N
困 N N
难 N N
提 N N
高 N N
到 N N
“ N N
政 N N
府 N N
公 N N
共 N N
服 N N
务 N N
的 N N
重 N N
要 N N
职 N N
责 N N
” N N
这 N N
一 N N
新 N N
的 N N
高 N N
度 N N
， N N
体 N N
现 N N
了 N N
其 N N
严 N N
肃 N N
性 N N
和 N N
重 N N
要 N N
性 N N
， N N
有 N N
利 N N
于 N N
督 N N
促 N N
地 N N
方 N N
政 N N
府 N N
将 N N
住 N N
房 N N
保 N N
障 N N
资 N N
金 N N
落 N N
实 N N
到 N N
位 N N
， N N
改 N N
变 N N
此 N N
前 N N
某 N N
些 N N
城 N N
市 N N
“ N N
该 N N
花 N N
的 N N
钱 N N
花 N N
不 N N
出 N N
去 N N
” N N
的 N N
现 N N
象 N N
。 N N

对 N N
于 N N
房 N N
地 N N
产 N N
市 N N
场 N N
的 N N
宏 N N
观 N N
调 N N
控 N N
， N N
齐 B-PER B-PER
骥 I-PER I-PER
透 N N
露 N N
， N N
下 N N
一 N N
阶 N N
段 N N
要 N N
重 N N
点 N N
发 N N
展 N N
中 N N
低 N N
价 N N
位 N N
、 N N
中 N N
小 N N
套 N N
型 N N
普 N N
通 N N
商 N N
品 N N
住 N N
房 N N
， N N
保 N N
证 N N
土 N N
地 N N
供 N N
应 N N
， N N
增 N N
加 N N
住 N N
房 N N
有 N N
效 N N
供 N N
应 N N
。 N N

同 N N
时 N N
， N N
房 N N
地 N N
产 N N
市 N N
场 N N
秩 N N
序 N N
专 N N
项 N N
整 N N
治 N N
工 N N
作 N N
已 N N
进 N N
入 N N
第 N N
二 N N
阶 N N
段 N N
， N N
重 N N
点 N N
是 N N
严 N N
厉 N N
打 N N
击 N N
捂 N N
盘 N N
惜 N N
售 N N
、 N N
哄 N N
抬 N N
房 N N
价 N N
等 N N
违 N N
法 N N
违 N N
规 N N
行 N N
为 N N
。 N N

“ N N
在 N N
这 N N
一 N N
阶 N N
段 N N
市 N N
场 N N
秩 N N
序 N N
专 N N
项 N N
整 N N
治 N N
结 N N
束 N N
时 N N
， N N
我 N N
们 N N
将 N N
继 N N
续 N N
公 N N
开 N N
曝 N N
光 N N
和 N N
处 N N
理 N N
一 N N
批 N N
不 N N
法 N N
的 N N
开 N N
发 N N
商 N N
， N N
目 N N
的 N N
是 N N
尽 N N
可 N N
能 N N
地 N N
减 N N
少 N N
非 N N
市 N N
场 N N
因 N N
素 N N
造 N N
成 N N
的 N N
房 N N
价 N N
不 N N
正 N N
常 N N
上 N N
涨 N N
。 N N

” N N

齐 B-PER B-PER
骥 I-PER I-PER
还 N N
表 N N
示 N N
， N N
当 N N
前 N N
各 N N
地 N N
大 N N
力 N N
建 N N
设 N N
的 N N
“ N N
两 N N
限 N N
房 N N
” N N
并 N N
非 N N
保 N N
障 N N
性 N N
住 N N
房 N N
， N N
而 N N
是 N N
限 N N
地 N N
价 N N
、 N N
限 N N
房 N N
价 N N
的 N N
一 N N
种 N N
政 N N
策 N N
性 N N
商 N N
品 N N
住 N N
房 N N
。 N N

近 N N
段 N N
时 N N
间 N N
社 N N
会 N N
舆 N N
论 N N
广 N N
泛 N N
关 N N
注 N N
的 N N
单 N N
位 N N
集 N N
资 N N
合 N N
作 N N
建 N N
房 N N
， N N
已 N N
纳 N N
入 N N
经 N N
济 N N
适 N N
用 N N
住 N N
房 N N
政 N N
策 N N
范 N N
畴 N N
。 N N

今 N N
后 N N
单 N N
位 N N
集 N N
资 N N
合 N N
作 N N
建 N N
房 N N
要 N N
纳 N N
入 N N
城 N N
市 N N
经 N N
济 N N
适 N N
用 N N
住 N N
房 N N
的 N N
建 N N
设 N N
计 N N
划 N N
， N N
其 N N
产 N N
权 N N
关 N N
系 N N
、 N N
建 N N
筑 N N
套 N N
型 N N
标 N N
准 N N
和 N N
供 N N
应 N N
对 N N
象 N N
都 N N
要 N N
按 N N
照 N N
经 N N
济 N N
适 N N
用 N N
住 N N
房 N N
政 N N
策 N N
的 N N
相 N N
关 N N
规 N N
定 N N
来 N N
执 N N
行 N N
。 N N

民 B-ORG N
航 I-ORG N
总 I-ORG N
局 I-ORG N
表 N N
示 N N

正 N N
常 N N
率 N N
低 N N
的 N N
航 N N
班 N N
可 N N
能 N N
被 N N
取 N N
消 N N

本 N N
报 N N
北 B-LOC B-LOC
京 I-LOC I-LOC
８ N N
月 N N
３ N N
０ N N
日 N N
电 N N
（ N N
白 B-PER N
天 I-PER N
亮 I-PER N
、 N N
徐 B-PER B-PER
笑 I-PER I-PER
古 I-PER N
） N N
民 B-ORG N
航 I-ORG N
总 I-ORG N
局 I-ORG N
副 N N
局 N N
长 N N
杨 B-PER B-PER
国 I-PER I-PER
庆 I-PER I-PER
今 N N
天 N N
在 N N
京 N N
表 N N
示 N N
， N N
今 N N
后 N N
对 N N
于 N N
正 N N
常 N N
率 N N
低 N N
的 N N
航 N N
班 N N
， N N
民 B-ORG N
航 I-ORG N
总 I-ORG N
局 I-ORG N
会 N N
取 N N
消 N N
其 N N
时 N N
刻 N N
乃 N N
至 N N
经 N N
营 N N
权 N N
， N N
还 N N
将 N N
把 N N
航 N N
班 N N
正 N N
常 N N
率 N N
与 N N
航 N N
空 N N
公 N N
司 N N
扩 N N
大 N N
经 N N
营 N N
范 N N
围 N N
、 N N
设 N N
立 N N
分 N N
公 N N
司 N N
、 N N
购 N N
租 N N
飞 N N
机 N N
挂 N N
起 N N
钩 N N
来 N N
， N N
以 N N
促 N N
使 N N
航 N N
空 N N
公 N N
司 N N
提 N N
高 N N
航 N N
班 N N
正 N N
常 N N
率 N N
。 N N

杨 B-PER B-PER
国 I-PER I-PER
庆 I-PER I-PER
是 N N
在 N N
今 N N
天 N N
召 N N
开 N N
的 N N
民 N N
航 N N
运 N N
输 N N
服 N N
务 N N
工 N N
作 N N
座 N N
谈 N N
会 N N
上 N N
作 N N
出 N N
上 N N
述 N N
表 N N
示 N N
的 N N
， N N
他 N N
说 N N
， N N
航 N N
班 N N
延 N N
误 N N
一 N N
直 N N
是 N N
旅 N N
客 N N
投 N N
诉 N N
率 N N
比 N N
较 N N
高 N N
的 N N
问 N N
题 N N
， N N
民 B-ORG N
航 I-ORG N
总 I-ORG N
局 I-ORG N
今 N N
后 N N
将 N N
在 N N
航 N N
线 N N
航 N N
班 N N
评 N N
审 N N
中 N N
加 N N
强 N N
对 N N
航 N N
空 N B-ORG
公 N I-ORG
司 N I-ORG
航 N I-ORG
班 N I-ORG
正 N N
常 N N
率 N N
和 N N
执 N N
行 N N
率 N N
的 N N
监 N N
管 N N
。 N N

此 N N
外 N N
， N N
民 B-ORG N
航 I-ORG N
总 I-ORG N
局 I-ORG N
还 N N
明 N N
确 N N
， N N
今 N N
后 N N
各 N N
航 N N
空 N N
公 N N
司 N N
在 N N
航 N N
班 N N
延 N N
误 N N
后 N N
要 N N
每 N N
隔 N N
３ N N
０ N N
分 N N
钟 N N
向 N N
旅 N N
客 N N
通 N N
报 N N
一 N N
次 N N
， N N
延 N N
误 N N
两 N N
小 N N
时 N N
以 N N
上 N N
必 N N
须 N N
有 N N
配 N N
餐 N N
。 N N

发 N N
生 N N
大 N N
面 N N
积 N N
航 N N
班 N N
延 N N
误 N N
时 N N
， N N
空 N N
管 N N
局 N N
、 N N
机 N N
场 N N
、 N N
航 N N
空 N N
公 N N
司 N N
的 N N
领 N N
导 N N
应 N N
立 N N
即 N N
进 N N
入 N N
候 N N
机 N N
楼 N N
巡 N N
视 N N
、 N N
处 N N
理 N N
问 N N
题 N N
。 N N

针 N N
对 N N
机 N N
票 N N
超 N N
售 N N
所 N N
带 N N
来 N N
的 N N
各 N N
种 N N
问 N N
题 N N
， N N
杨 B-PER B-PER
国 I-PER I-PER
庆 I-PER I-PER
说 N N
， N N
各 N N
航 N N
空 N N
公 N N
司 N N
应 N N
该 N N
在 N N
销 N N
售 N N
机 N N
票 N N
时 N N
就 N N
履 N N
行 N N
对 N N
旅 N N
客 N N
的 N N
告 N N
知 N N
义 N N
务 N N
， N N
并 N N
以 N N
明 N N
显 N N
形 N N
式 N N
将 N N
优 N N
先 N N
登 N N
机 N N
的 N N
规 N N
则 N N
公 N N
告 N N
给 N N
旅 N N
客 N N
， N N
对 N N
于 N N
因 N N
机 N N
票 N N
超 N N
售 N N
而 N N
无 N N
法 N N
登 N N
机 N N
的 N N
旅 N N
客 N N
， N N
航 N N
空 N N
公 N N
司 N N
应 N N
给 N N
予 N N
相 N N
应 N N
的 N N
服 N N
务 N N
及 N N
补 N N
偿 N N
。 N N

飞 N N
艇 N N
帮 N N
忙 N N
修 N N
大 N N
桥 N N

８ N N
月 N N
３ N N
０ N N
日 N N
， N N
一 N N
艘 N N
飞 N N
艇 N N
在 N N
主 N N
跨 N N
１ N N
０ N N
８ N N
８ N N
米 N N
的 N N
贵 B-LOC B-LOC
州 I-LOC I-LOC
坝 B-LOC I-LOC
陵 I-LOC I-LOC
河 I-LOC I-LOC
特 N N
大 N N
桥 N N
成 N N
功 N N
地 N N
进 N N
行 N N
了 N N
先 N N
导 N N
索 N N
架 N N
设 N N
作 N N
业 N N
。 N N

坝 B-LOC B-ORG
陵 I-LOC I-ORG
河 I-LOC I-ORG
特 N I-ORG
大 N I-ORG
桥 N I-ORG
总 N N
投 N N
资 N N
１ N N
４ N N
． N N
８ N N
亿 N N
元 N N
， N N
２ N N
０ N N
０ N N
５ N N
年 N N
４ N N
月 N N
１ N N
８ N N
日 N N
开 N N
工 N N
， N N
预 N N
计 N N
２ N N
０ N N
０ N N
８ N N
年 N N
８ N N
月 N N
底 N N
完 N N
工 N N
。 N N

新 N N
华 N N
社 N N
记 N N
者 N N
侯 B-PER B-PER
少 I-PER I-PER
华 I-PER I-PER
摄 N N

三 B-LOC B-LOC
亚 I-LOC I-LOC
旅 N N
游 N N
业 N N

告 N N
别 N N
“ N N
急 N N
行 N N
军 N N
” N N
请 N N
君 N N
“ N N
住 N N
下 N N
来 N N
” N N
（ N N
经 N N
济 N N
聚 N N
焦 N B-PER
· N I-PER
峰 N I-PER
回 N N
路 N N
转 N N
看 N N
旅 N N
游 N N
（ N N
下 N N
） N N
） N N

本 N N
报 N N
记 N N
者 N N
罗 B-PER B-PER
昌 I-PER I-PER
爱 I-PER I-PER

６ N N
月 N N
下 N N
旬 N N
， N N
来 N N
自 N N
俄 B-LOC B-LOC
罗 I-LOC I-LOC
斯 I-LOC I-LOC
的 N N
客 N N
人 N N
Ｓ B-PER N
ｈ I-PER N
ａ I-PER N
ｂ I-PER N
ａ I-PER N
ｓ I-PER N
ｈ I-PER N
ｏ I-PER N
ｖ I-PER N
ａ I-PER N
先 N N
生 N N
再 N N
次 N N
依 N N
依 N N
不 N N
舍 N N
地 N N
告 N N
别 N N
了 N N
三 B-LOC N
亚 I-LOC N
银 I-LOC N
泰 I-LOC N
度 I-LOC N
假 I-LOC N
酒 I-LOC N
店 I-LOC N
， N N
酒 N N
店 N N
总 N N
经 N N
理 N N
刘 B-PER B-PER
凯 I-PER I-PER
强 I-PER I-PER
告 N N
诉 N N
记 N N
者 N N
， N N
从 N N
去 N N
年 N N
５ N N
月 N N
到 N N
今 N N
年 N N
７ N N
月 N N
， N N
Ｓ B-PER N
ｈ I-PER N
ａ I-PER N
ｂ I-PER N
ａ I-PER N
ｓ I-PER N
ｈ I-PER N
ｏ I-PER N
ｖ I-PER N
ａ I-PER N
先 N N
生 N N
已 N N
经 N N
是 N N
连 N N
续 N N
３ N N
次 N N
到 N N
三 B-LOC N
亚 I-LOC N
旅 N N
游 N N
度 N N
假 N N
。 N N

三 B-LOC B-LOC
亚 I-LOC I-LOC
新 N N
一 N N
轮 N N
开 N N
发 N N
建 N N
设 N N
正 N N
在 N N
稳 N N
步 N N
、 N N
健 N N
康 N N
、 N N
悄 N N
然 N N
兴 N N
起 N N
， N N
大 N N
商 N N
家 N N
正 N N
微 N N
笑 N N
着 N N
走 N N
进 N N
来 N N
。 N N

观 N N
念 N N
在 N N
悄 N N
然 N N
变 N N
化 N N

三 B-LOC B-LOC
亚 I-LOC I-LOC
市 I-LOC I-LOC
旅 N N
游 N N
局 N N
长 N N
杜 B-PER B-PER
丽 I-PER I-PER
银 I-PER I-PER
说 N N
， N N
三 B-LOC N
亚 I-LOC N
入 N N
境 N N
游 N N
客 N N
由 N N
观 N N
光 N N
到 N N
休 N N
闲 N N
度 N N
假 N N
始 N N
于 N N
２ N N
０ N N
０ N N
３ N N
年 N N
， N N
从 N N
休 N N
闲 N N
度 N N
假 N N
人 N N
数 N N
占 N N
比 N N
来 N N
说 N N
， N N
三 B-LOC N
亚 I-LOC N
是 N N
全 N N
国 N N
最 N N
高 N N
的 N N
一 N N
个 N N
城 N N
市 N N
。 N N

去 N N
年 N N
， N N
休 N N
闲 N N
度 N N
假 N N
型 N N
的 N N
散 N N
客 N N
已 N N
占 N N
到 N N
游 N N
客 N N
总 N N
人 N N
数 N N
的 N N
７ N N
０ N N
％ N N
。 N N

“ N N
‘ N N
一 N N
次 N N
来 N N
了 N N
生 N N
好 N N
感 N N
， N N
二 N N
次 N N
来 N N
了 N N
不 N N
想 N N
走 N N
， N N
三 N N
次 N N
来 N N
了 N N
买 N N
房 N N
子 N N
。 N N

’ N N
” N N
杜 B-PER B-PER
丽 I-PER I-PER
银 I-PER I-PER
介 N N
绍 N N
： N N
三 B-LOC N
亚 I-LOC N
旅 N N
游 N N
由 N N
观 N N
光 N N
型 N N
向 N N
休 N N
闲 N N
型 N N
转 N N
变 N N
， N N
包 N N
含 N N
着 N N
观 N N
念 N N
转 N N
变 N N
和 N N
旅 N N
游 N N
方 N N
式 N N
转 N N
变 N N
， N N
包 N N
括 N N
： N N
家 N N
庭 N N
游 N N
增 N N
多 N N
、 N N
蜜 N N
月 N N
游 N N
增 N N
多 N N
、 N N
散 N N
客 N N
量 N N
增 N N
多 N N
、 N N
入 N N
境 N N
客 N N
人 N N
增 N N
多 N N
、 N N
逗 N N
留 N N
时 N N
间 N N
延 N N
长 N N
等 N N
。 N N

“ N N
‘ N N
急 N N
行 N N
军 N N
’ N N
式 N N
的 N N
观 N N
光 N N
游 N N
太 N N
累 N N
了 N N
， N N
我 N N
就 N N
想 N N
选 N N
定 N N
一 N N
个 N N
最 N N
理 N N
想 N N
的 N N
地 N N
点 N N
， N N
住 N N
上 N N
三 N N
五 N N
天 N N
， N N
好 N N
好 N N
休 N N
息 N N
疗 N N
养 N N
， N N
” N N
辽 B-LOC B-LOC
宁 I-LOC I-LOC
客 N N
人 N N
张 B-PER B-PER
珙 I-PER I-PER
说 N N
。 N N

刘 B-PER B-PER
凯 I-PER I-PER
强 I-PER I-PER
说 N N
， N N
现 N N
在 N N
的 N N
客 N N
人 N N
已 N N
经 N N
不 N N
再 N N
是 N N
像 N N
过 N N
去 N N
那 N N
样 N N
留 N N
个 N N
影 N N
、 N N
吃 N N
餐 N N
饭 N N
、 N N
买 N N
件 N N
纪 N N
念 N N
品 N N
就 N N
走 N N
了 N N
。 N N

喜 B-ORG N
来 I-ORG N
登 I-ORG N
度 I-ORG N
假 I-ORG N
酒 I-ORG N
店 I-ORG N
市 I-ORG N
场 I-ORG N
沟 I-ORG N
通 I-ORG N
部 I-ORG N
助 N N
理 N N
经 N N
理 N N
张 B-PER B-LOC
河 I-PER I-LOC
静 I-PER N
告 N N
诉 N N
记 N N
者 N N
， N N
喜 B-LOC N
来 I-LOC N
登 I-LOC N
度 I-LOC N
假 I-LOC N
酒 I-LOC N
店 I-LOC N
年 N N
接 N N
待 N N
客 N N
人 N N
突 N N
破 N N
２ N N
０ N N
万 N N
人 N N
次 N N
， N N
入 N N
住 N N
客 N N
人 N N
一 N N
般 N N
都 N N
是 N N
一 N N
周 N N
至 N N
两 N N
周 N N
时 N N
间 N N
。 N N

观 N N
念 N N
的 N N
转 N N
变 N N
， N N
使 N N
三 B-LOC N
亚 I-LOC N
旅 N N
游 N N
已 N N
经 N N
出 N N
现 N N
了 N N
可 N N
喜 N N
局 N N
面 N N
： N N
２ N N
０ N N
０ N N
６ N N
年 N N
， N N
三 B-LOC N
亚 I-LOC N
旅 N N
游 N N
饭 N N
店 N N
接 N N
待 N N
过 N N
夜 N N
旅 N N
客 N N
４ N N
５ N N
５ N N
万 N N
人 N N
次 N N
， N N
同 N N
比 N N
增 N N
长 N N
１ N N
１ N N
． N N
８ N N
７ N N
％ N N
， N N
旅 N N
游 N N
总 N N
收 N N
入 N N
６ N N
５ N N
亿 N N
元 N N
， N N
同 N N
比 N N
增 N N
长 N N
３ N N
２ N N
． N N
５ N N
％ N N
； N N

旅 N N
游 N N
外 N N
汇 N N
收 N N
入 N N
１ N N
． N N
６ N N
亿 N N
美 N N
元 N N
， N N
同 N N
比 N N
增 N N
长 N N
１ N N
１ N N
４ N N
． N N
７ N N
５ N N
％ N N
。 N N

重 N N
在 N N
强 N N
化 N N
软 N N
环 N N
境 N N

如 N N
果 N N
说 N N
观 N N
念 N N
变 N N
化 N N
